Sample	posterior	likelihood	prior	Tree.t:Ecoli_rplA.CFheight	Tree.t:Ecoli_rplA.CFlength	Tree.t:Ecoli_rplA.nConv	Tree.t:Ecoli_rplA.nUselessConvs	Tree.t:Ecoli_rplA.meanEdgeLength	Tree.t:Ecoli_rplA.meanDepartureHeight	Tree.t:Ecoli_rplA.locus.Ecoli_rplA.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplA.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplA.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplA.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplA.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplA.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplB.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplB.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplB.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplB.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplB.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplB.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplC.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplC.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplC.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplC.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplC.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplC.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplD.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplD.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplD.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplD.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplD.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplD.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplE.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplE.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplE.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplE.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplE.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplE.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplF.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplF.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplF.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplF.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplF.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplF.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplO.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplO.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplO.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplO.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplO.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplO.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplP.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplP.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplP.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplP.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplP.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplP.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplQ.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplQ.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplQ.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplQ.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplQ.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplQ.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplR.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplR.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplR.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplR.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplR.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplR.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplS.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplS.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplS.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplS.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplS.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplS.randomEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplT.meanTractLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplT.meanRegionLength	Tree.t:Ecoli_rplA.locus.Ecoli_rplT.meanStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplT.meanEndSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplT.randomStartSite	Tree.t:Ecoli_rplA.locus.Ecoli_rplT.randomEndSite	popSize.t:Ecoli_rplA	kappa.s:Ecoli_rplA	freqParameter.s:Ecoli_rplA1	freqParameter.s:Ecoli_rplA2	freqParameter.s:Ecoli_rplA3	freqParameter.s:Ecoli_rplA4
0	-62274.867842806125	-47658.28145537616	-14616.586387429972	1.9215419636884004	8.053630926676963	0	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0	2.0	0.25	0.25	0.25	0.25
1000	-9255.786702315272	-9154.149754271466	-101.63694804380602	0.009226093329430824	0.052921048703555136	3	0	0.015617750544854045	0.0025251422266908768	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	105.0	105.0	501.0	605.0	501.0	605.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	54.0	54.0	0.0	53.0	0.0	53.0	14.0	14.0	0.0	13.0	0.0	13.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.7901218978746173	2.9336017649190733	0.25	0.25	0.25	0.25
2000	-8768.375609966062	-8749.142504687317	-19.233105278744702	0.0023623351515515323	0.012507657778323602	2	0	0.007687958982437364	7.5883565555324E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	25.0	25.0	230.0	254.0	230.0	254.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	300.0	300.0	0.0	299.0	0.0	299.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.4504547682713357	2.9336017649190733	0.2417442441150195	0.2505788470732759	0.2576769088117047	0.25
3000	-8678.962787339375	-8696.784719570263	17.821932230888496	0.0011277949799321054	0.0067231110509511065	1	0	0.0029813350170645025	3.526362125361039E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	132.0	132.0	303.0	434.0	303.0	434.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.20804053757547128	3.7653353309537763	0.2417442441150195	0.2505788470732759	0.2576769088117047	0.25
4000	-8653.730461830346	-8688.67310000064	34.942638170294366	8.319589410288511E-4	0.004816135665346982	1	0	3.9751159640501985E-4	3.840889215675572E-4	NaN	NaN	NaN	NaN	NaN	NaN	721.0	721.0	101.0	821.0	101.0	821.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.11336418251861166	3.7653353309537763	0.2417442441150195	0.2505788470732759	0.2576769088117047	0.25
5000	-8644.991690660094	-8689.63023738488	44.63854672478604	0.0012300401768811145	0.0057249510773546425	3	1	0.014391556294694206	5.107856494250684E-4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	232.5	281.0	0.0	231.5	0.0	280.0	212.0	212.0	0.0	211.0	0.0	211.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.07069678886180489	3.039667485691443	0.23823908132563987	0.2505788470732759	0.2611820716010843	0.25
6000	-8618.607399980108	-8685.144123598762	66.53672361865357	0.0012063563450793481	0.005690565255930371	1	0	0.0022000530222357497	9.883636082768403E-4	434.0	434.0	271.0	704.0	271.0	704.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.02774797137857772	2.12727911439093	0.23823908132563987	0.2505788470732759	0.2611820716010843	0.25
7000	-8600.28743323812	-8688.781449129816	88.49401589169601	5.590049047843002E-4	0.0031832500165160254	4	0	0.002304779973314069	2.4839321086850855E-4	444.0	444.0	261.0	704.0	261.0	704.0	51.0	51.0	0.0	50.0	0.0	50.0	NaN	NaN	NaN	NaN	NaN	NaN	60.0	60.0	0.0	59.0	0.0	59.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	196.0	196.0	239.0	434.0	239.0	434.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.015753170350780787	2.12727911439093	0.23823908132563987	0.25124654806449825	0.2611820716010843	0.24933229900877762
8000	-8614.87737136942	-8688.185019074961	73.30764770553938	0.0012761885827802279	0.005807293772037837	5	0	0.002797175246150925	5.729154632723949E-4	441.0	441.0	264.0	704.0	264.0	704.0	174.0	174.0	23.0	196.0	23.0	196.0	NaN	NaN	NaN	NaN	NaN	NaN	241.0	241.0	0.0	240.0	0.0	240.0	368.0	160.66666666666666	6.5	373.5	0.0	266.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.013407620838860445	3.268016501942235	0.2429336200453453	0.25124654806449825	0.2611820716010843	0.2446377602890722
9000	-8580.009831474696	-8680.694606846822	100.68477537212685	8.904543497437111E-4	0.005145724778527301	3	0	9.117138321207066E-4	3.1015636474742006E-4	445.0	445.0	260.0	704.0	260.0	704.0	NaN	NaN	NaN	NaN	NaN	NaN	224.0	224.0	0.0	223.0	0.0	223.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	348.0	348.0	0.0	347.0	0.0	347.0	NaN	NaN	NaN	NaN	NaN	NaN	0.009374003881395117	3.2585001610676425	0.2429336200453453	0.2592316155148323	0.2611820716010843	0.23665269283873816
